Date,open,high,low,close,volume,adjclose
14/11/2018,121.1100006,121.9300003,119.7699966,120.1999969,4762300,114.6987305
15/11/2018,119.6600037,121.4400024,119.5100021,121.4400024,5207900,115.8819885
16/11/2018,120.8899994,121.8499985,120.5400009,121.5699997,4076300,116.0060272
19/11/2018,121.6299973,122.1800003,119.7699966,120.3099976,4131200,114.8036957
20/11/2018,118.4899979,,116.6999969,117.1999969,6233800,111.8360291
21/11/2018,117.6100006,119.5100021,117.3899994,118.5699997,5335800,113.1433334
23/11/2018,118.0899963,118.3399963,116.9100037,117.1900024,2334700,111.8264923
26/11/2018,118.3700027,120.25,118.0599976,119.5599976,5011100,114.0880203
27/11/2018,118.3799973,120.0400009,118.3700027,120.0299988,4903800,114.5365067
28/11/2018,121.0100021,123.0899963,120.2200012,123,5104500,117.3705826
29/11/2018,122.4400024,123.1200027,121.4000015,121.4800034,5200100,115.9201508
30/11/2018,121.6600037,124.6900024,121.4800034,124.2699966,7251600,118.5824509
3/12/2018,125.6699982,126.5899963,124.3600006,125.3099976,5846400,119.5748672
4/12/2018,124.4899979,124.9199982,121.3300018,121.5999985,6000700,116.0346527
6/12/2018,119.7200012,123.9100037,119.3000031,123.9100037,6938000,118.2389374
7/12/2018,123.9000015,124.0500031,118.8700027,119.3399963,7019600,113.8780899
10/12/2018,119.7399979,121.6800003,118.5199966,,6549500,115.5861664
11/12/2018,123.25,123.8099976,120,120.8899994,5043100,115.3571472
12/12/2018,122.5100021,122.8799973,121,121.1600037,3560500,115.6147919
13/12/2018,121.2600021,121.7900009,120.1699982,120.7300034,3993600,115.204483
14/12/2018,119.5,121.1100006,119.4400024,119.9000015,4554200,114.4124603
17/12/2018,119.0699997,119.7799988,115.0699997,116.0999985,7374500,110.786377
18/12/2018,116.9000015,118.2300034,116.0199966,116.6500015,6290200,111.3112106
19/12/2018,117.1500015,120.2699966,115.9700012,116.4300003,6979800,111.1012802
20/12/2018,115.6999969,116.4499969,111.6999969,113.0199966,8454400,107.8473358
21/12/2018,112.5,115.2799988,110.4400024,110.9400024,10386500,105.8625412
24/12/2018,109.9000015,111,107.5,107.5699997,3821400,102.6467743
26/12/2018,108,111.3899994,105.9400024,111.3899994,6645800,106.2919388
27/12/2018,109.9899979,113.7799988,109.4700012,113.7799988,6045600,108.5725555
28/12/2018,114.2200012,114.8000031,112.5,113.0299988,5117500,107.8568802
31/12/2018,113.3300018,114.3499985,112.4199982,113.6699982,4982800,108.4675903
2/1/2019,112.0100021,115.9800034,,115.2099991,4239900,109.9371109
3/1/2019,114.5299988,114.8799973,112.6900024,112.9100037,4346700,107.7423706
4/1/2019,114.9100037,117.4899979,114.4400024,117.3199997,4477800,111.9505386
7/1/2019,117.5,118.8300018,116.6699982,118.1500015,3751200,112.7425537
8/1/2019,119.6600037,120.5699997,118.9800034,119.8300018,4763600,114.3456573
9/1/2019,120.9100037,121.4000015,119.8700027,120.6900024,3633700,115.1663055
10/1/2019,120.0800018,121.8600006,119.9499969,121.7900009,3910000,116.2159576
11/1/2019,121.5800018,121.6200027,120.1999969,121.4599991,3722400,115.901062
14/1/2019,120.5100021,120.6500015,119.7600021,120.3899994,5228700,114.8800354
15/1/2019,120.9599991,121.9300003,120.8199997,121.7300034,,116.1587143
16/1/2019,121.5800018,122,120.8300018,121.6200027,3841100,116.0537415
17/1/2019,120.5599976,122.4100037,120.5500031,122.1900024,5029900,116.5976563
18/1/2019,123.2699966,124.7200012,122.7099991,123.8199997,6008500,118.1530533
22/1/2019,123.3000031,123.8000031,121.5400009,122.5199966,10052400,116.9125443
23/1/2019,131.3699951,135,130.3099976,132.8899994,22063700,126.80793
24/1/2019,132.6300049,133.2100067,131.4299927,132.5299988,6322900,126.4644089
25/1/2019,132.8699951,134.4400024,132.4299927,133.9700012,5707400,127.8385086
28/1/2019,133.1000061,134.8099976,132.5800018,134.2700043,5357700,128.1248016
29/1/2019,134.2899933,135.4100037,133.6000061,134.3300018,5037100,128.1820221
30/1/2019,134,,133.25,134.3800049,4500900,128.2297516
31/1/2019,134.4499969,134.7200012,133.7400055,134.4199982,4884000,128.2679138
1/2/2019,134.9700012,135.1999969,133.3500061,134.1000061,3806000,127.9625702
4/2/2019,134.0200043,135.1999969,132.9900055,135.1900024,3966600,129.0026703
5/2/2019,135.2799988,135.8200073,134.9199982,135.5500031,5398900,129.3461914
6/2/2019,135.2200012,136.6499939,135.1699982,136.3200073,4879700,130.0809631
7/2/2019,133.5500031,134.4700012,132.1199951,133.1900024,4379400,128.5750122
8/2/2019,132.3399963,133.7100067,132.1900024,133.7100067,3249800,129.0769958
11/2/2019,134.2899933,135.1499939,133.9100037,133.9900055,3095100,129.3473053
12/2/2019,135.1499939,136.1999969,134.8600006,136.0500031,3317200,131.3359222
13/2/2019,136.9199982,137.9199982,136.4100037,137.5200043,4253000,132.7549896
14/2/2019,137.1699982,137.6000061,,136.4799957,,131.7510071
15/2/2019,137.5800018,138.1900024,137.3899994,138.0299988,3844100,133.2473145
19/2/2019,137.8099976,138.6999969,137.3600006,138.6999969,3385700,133.8940887
20/2/2019,138.7599945,139.2400055,137.2200012,138,3802000,133.2183533
21/2/2019,137.8200073,138.3500061,137.3500061,137.8399963,2937300,133.0639038
22/2/2019,138.7299957,139.3800049,138.4299927,139.25,3113700,134.4250488
25/2/2019,140,140.4700012,139.3200073,139.4600067,3194200,134.6277618
26/2/2019,139.6699982,140.4900055,139.4700012,139.7200012,3060400,134.8787384
27/2/2019,139.25,139.5700073,138.3999939,139.1699982,2530900,134.3478088
28/2/2019,138.7700043,139.0599976,137.7200012,138.1300049,3457800,133.3438568
1/3/2019,139.3099976,140.0399933,138.6399994,139.1999969,3030000,134.3767548
4/3/2019,139.9900055,140.0800018,137.1699982,138.4299927,3406900,133.6334534
5/3/2019,138.3699951,138.7400055,,137.8800049,4250300,133.1025085
6/3/2019,,138.3899994,136.7200012,136.9799957,2768300,132.2336884
7/3/2019,136.6100006,136.8899994,134.6300049,135.3600006,4358800,130.6698303
8/3/2019,134.2100067,135.2400055,133.5800018,135.0899963,3773600,130.4091797
11/3/2019,136.0299988,137.7299957,135.8399963,137.7100067,3939300,132.9384155
12/3/2019,138.5200043,139.6999969,137.8600006,138.2799988,3954700,133.4886475
13/3/2019,138.0500031,139.3200073,137.8500061,138.5599976,3173200,133.7589417
14/3/2019,138.5099945,138.9400024,138.0599976,138.7899933,2738600,133.9809723
15/3/2019,139.3699951,140.3300018,139.2299957,139.4299927,7153700,134.5987854
18/3/2019,139.8300018,140.3699951,138.7200012,140.2100067,3268500,135.3517761
19/3/2019,140.9600067,141.6999969,140,140.4900055,3482300,135.6220703
20/3/2019,140.5299988,140.6999969,138.9799957,139.6000061,3649500,134.7629242
21/3/2019,139.1000061,142.1199951,,141.4400024,3605400,136.5391541
22/3/2019,140.9700012,141.4400024,138.8999939,139.4499969,3877200,134.618103
25/3/2019,139.0599976,139.9100037,138.3500061,139.1799927,2839800,134.3574677
26/3/2019,139.9299927,141.0200043,139.4199982,140.2200012,2553700,135.3614349
27/3/2019,140.4100037,140.4900055,138.3999939,139.2400055,3098200,134.41539
28/3/2019,139.9100037,140.4400024,139.1000061,139.9199982,2663900,135.0718231
29/3/2019,140.5,141.2200012,140.1499939,141.1000061,3101400,136.2109528
1/4/2019,141.5099945,143.4100037,141.5099945,143.3000031,3984300,138.3347168
2/4/2019,143.3500061,143.9499969,142.6000061,143,2404800,138.045105
3/4/2019,143.6499939,144.2200012,143.0099945,143.6300049,2681200,138.6532745
4/4/2019,143.6199951,144.1399994,142.5399933,142.7799988,2771100,137.8327179
5/4/2019,143.2899933,143.5,142.4600067,143.2799988,2731800,138.3154144
8/4/2019,143.0200043,143.4199982,142.8699951,143.3899994,2118200,138.4216003
9/4/2019,142.6600037,142.9499969,141.8399963,142.1100006,3038500,137.1859436
10/4/2019,142.1999969,143.5,141.9799957,143.0200043,2678000,138.0644073
11/4/2019,143.8000031,144.1100006,143.0299988,143.7799988,2942000,138.7980804
12/4/2019,144.2599945,144.4400024,143.6999969,144.3500061,2898900,139.3483276
15/4/2019,144.3999939,144.4600067,143.2700043,143.8999939,3603200,138.9139099
16/4/2019,144.3999939,145.3899994,144.0200043,145.1399994,6301700,140.1109619
